**********************************
LOGGING TIME: 20201103_145845
CLIENT IP: 192.168.137.1
USERNAME: izazuhur
OS: Windows 10
*********************Neutral database**********************************
MM, 226, 59, 1606317768927
MM, 230, 48, 15
MM, 236, 36, 0
MM, 244, 26, 16
MM, 250, 15, 0
MM, 258, 3, 16
MM, 115, 30, 400
MM, 111, 24, 16
MM, 108, 17, 0
MM, 107, 14, 15
MM, 102, 8, 7
MM, 99, 5, 0
MM, 96, 0, 16
MM, 79, 26, 47
MM, 77, 23, 15
MM, 76, 22, 0
MM, 75, 19, 16
MM, 74, 18, 6
MM, 74, 16, 0
MM, 73, 14, 16
MM, 72, 13, 0
MM, 72, 12, 16
MM, 70, 11, 0
MM, 69, 11, 15
MM, 69, 10, 0
MM, 68, 9, 85
MM, 68, 8, 0
MM, 67, 8, 15
MM, 78, 13, 10132
MM, 97, 17, 16
MM, 119, 19, 0
MM, 145, 19, 16
MM, 174, 19, 6
MM, 13, 18, 0
MM, 37, 18, 16
MM, 49, 16, 0
MM, 25, 17, 447
MM, 212, 61, -185
MM, 25, 15, 185
MM, 25, 12, 15
MM, 25, 11, 0
MM, 24, 11, 38
MM, 24, 12, 31
MM, 24, 15, 0
MM, 23, 17, 16
MM, 23, 20, 0
MM, 23, 24, 15
MM, 21, 29, 0
MM, 1, 3, 38
MM, 1, 16, 0
MM, 1, 30, 16
MM, 42, 29, -1299560987
MM, 42, 28, 116
MM, 44, 27, 16
MM, 47, 25, 0
MM, 50, 24, 15
MM, 52, 23, 7
MM, 55, 23, 0
MM, 58, 23, 16
MM, 58, 22, 0
MM, 59, 22, 15
MC, 1, 270
MM, 63, 20, 9355
MM, 65, 17, 15
MM, 65, 16, 0
MM, 64, 16, 31
MM, 52, 14, 0
MM, 47, 14, 16
MM, 47, 13, 22
MM, 49, 13, 15
MM, 50, 13, 0
MM, 52, 13, 16
MM, 53, 13, 0
MM, 56, 13, 16
MM, 60, 13, 0
MM, 70, 13, 15
MM, 86, 13, 0
MM, 107, 13, 16
MM, 136, 13, 6
MM, 173, 13, 0
MM, 41, 12, 16
