**********************************
LOGGING TIME: 20201022_174623
CLIENT IP: 192.168.137.1
USERNAME: izazuhur
OS: Windows 10
*********************Neutral database**********************************
MM, 195, 5, 1602022801479
MM, 5, 27, 545
MM, 0, 22, 6
MM, 177, 20, 15
MM, 173, 17, 0
MM, 166, 14, 16
MM, 162, 13, 0
MM, 157, 10, 16
MM, 153, 8, 0
MM, 150, 4, 15
MM, 145, 1, 0
MM, 112, 26, 116
MM, 111, 25, 0
MM, 109, 24, 16
MM, 106, 21, 6
MM, 103, 18, 0
MM, 102, 17, 16
MM, 101, 16, 0
MM, 100, 16, 15
MM, 101, 17, 16486
MM, 104, 20, 0
MM, 109, 23, 22
MM, 111, 26, 0
MM, 147, 0, 78
MM, 149, 1, 23
MM, 152, 3, 0
MM, 155, 4, 15
MM, 156, 5, 0
MM, 159, 6, 16
MM, 161, 8, 15
MM, 164, 9, 0
MM, 167, 10, 16
MM, 171, 12, 16
MM, 174, 15, 0
MM, 178, 16, 15
MC, 1, 5755
MC, 1, 6696
MM, 164, 2, 23428
MM, 161, 3, 7
MM, 159, 6, 9
MM, 158, 7, 8
MM, 157, 8, 8
MM, 156, 10, 7
MM, 155, 11, 9
MM, 154, 11, 8
MM, 154, 12, 8
MM, 153, 12, 8
MM, 151, 12, 8
MM, 150, 13, 8
MM, 149, 13, 8
MM, 149, 14, 16
MC, 1, 160
MM, 148, 17, 144
MM, 147, 19, 8
MM, 147, 24, 8
MM, 147, 28, 8
MM, 145, 32, 8
MM, 144, 38, 8
MM, 140, 45, 8
MM, 140, 49, 8
MM, 140, 54, 8
MM, 140, 56, 8
MM, 140, 57, 8
MM, 140, 58, 7
MM, 140, 60, 8
MM, 140, 61, 8
MM, 140, 62, 9
MM, 142, 63, 16
MM, 42, 14, 224
MM, 40, 14, 7
MM, 35, 14, 8
MM, 34, 14, 8
MM, 32, 14, 9
MM, 31, 14, 8
MM, 29, 14, 8
MM, 28, 14, 8
MM, 27, 14, 16
MM, 26, 14, 8
MM, 25, 14, 8
MM, 22, 14, 8
MM, 21, 14, 8
MM, 20, 14, 8
MM, 19, 14, 8
MM, 18, 14, 16
MM, 18, 15, 32
MM, 17, 15, 32
MC, 1, 144
MM, 17, 16, 16
MM, 18, 18, 8
MM, 23, 23, 8
MM, 26, 26, 8
MM, 29, 30, 8
MM, 16, 0, 64
MM, 28, 6, 9
MM, 35, 11, 7
MM, 1, 22, 16
MM, 8, 25, 9
MM, 12, 27, 7
MM, 16, 30, 8
MM, 31, 0, 31
MM, 33, 3, 9
MM, 36, 6, 9
MM, 37, 7, 7
MM, 39, 7, 8
MM, 42, 7, 7
MM, 2, 8, 25
MM, 6, 8, 8
MM, 9, 8, 8
MM, 11, 8, 8
MM, 13, 8, 8
MM, 15, 8, 8
MM, 16, 8, 8
MM, 17, 8, 16
MM, 18, 8, 8
MM, 19, 8, 32
MM, 21, 8, 8
MM, 22, 8, 8
MM, 24, 8, 8
MM, 28, 8, 8
MM, 33, 8, 8
MM, 37, 8, 7
MM, 41, 8, 8
MM, 2, 8, 17
MM, 6, 9, 7
MM, 9, 9, 8
MM, 15, 9, 8
MM, 21, 11, 10
MM, 25, 12, 7
MM, 28, 12, 7
MM, 34, 12, 10
MM, 36, 12, 8
MM, 40, 12, 7
MM, 43, 12, 8
MM, 2, 12, 39
MM, 3, 12, 17
MM, 4, 12, 7
MM, 6, 12, 8
MM, 7, 12, 9
MM, 9, 12, 8
MM, 10, 13, 8
MM, 12, 13, 8
MM, 13, 14, 8
MM, 14, 14, 16
MM, 14, 15, 8
MM, 16, 15, 16
MM, 17, 16, 8
MM, 18, 16, 8
MM, 19, 18, 8
MM, 20, 19, 8
MM, 21, 20, 8
MM, 22, 21, 8
MM, 24, 22, 16
MM, 22, 23, 248
MM, 19, 25, 8
MM, 18, 26, 8
MM, 14, 28, 8
MM, 10, 31, 8
MM, 217, 26, 80
MM, 211, 26, 8
MM, 208, 26, 8
MM, 207, 26, 8
MM, 206, 26, 16
MM, 205, 26, 16
MM, 205, 27, 8
MM, 204, 27, 7
MM, 201, 27, 9
MM, 200, 28, 8
MM, 199, 28, 9
MM, 197, 28, 7
MM, 195, 28, 8
MM, 194, 28, 7
MM, 192, 28, 8
MM, 191, 28, 8
MM, 188, 28, 10
MM, 187, 28, 7
MM, 185, 28, 8
MM, 182, 28, 8
MM, 181, 28, 8
MM, 179, 28, 8
MM, 176, 28, 8
MM, 173, 28, 8
MM, 171, 28, 8
MM, 168, 28, 8
MM, 167, 28, 8
MM, 166, 28, 8
MM, 165, 28, 8
MM, 164, 28, 8
MM, 163, 28, 8
MM, 161, 28, 8
MM, 166, 24, 167
MM, 169, 21, 8
MM, 173, 16, 8
MM, 185, 10, 8
MM, 192, 3, 9
MM, 23, 31, 16
MM, 35, 29, 8
MM, 38, 24, 8
MM, 42, 21, 7
MM, 43, 17, 129
MM, 42, 17, 88
MM, 41, 17, 49
MM, 40, 17, 15
