********************************************************************************
LOGGING TIME: 20200927_150409
CLIENT IP: 192.168.1.102
USERNAME: nishanth
OS: Windows 10
ARCHITECTURE: x86
VERSION: 10.0
RESOLUTION: 1920.0 1080.0
********************************************************************************
MR, 1, 1602022801512
MM, 571, 669, 372
MM, 573, 698, 8
MM, 586, 724, 8
MM, 607, 749, 8
MM, 641, 768, 0
MM, 683, 785, 8
MM, 725, 792, 8
MM, 773, 792, 8
MM, 824, 792, 8
MM, 890, 783, 8
MM, 966, 770, 8
MM, 1033, 755, 8
MM, 1104, 738, 8
MM, 1168, 715, 0
MM, 1227, 691, 8
MM, 1276, 670, 8
MM, 1308, 656, 8
MM, 1323, 649, 8
MM, 1331, 646, 8
MM, 1331, 646, 8
MM, 1328, 647, 8
MM, 1310, 655, 0
MM, 1271, 674, 8
MM, 1214, 706, 8
MM, 1141, 743, 13
MM, 1061, 783, 0
MM, 982, 825, 8
MM, 908, 867, 8
MM, 841, 906, 8
MM, 785, 933, 8
MM, 746, 952, 8
MM, 730, 959, 8
MM, 722, 963, 8
MM, 721, 963, 0
MM, 721, 962, 8
MM, 732, 957, 8
MM, 760, 942, 8
MM, 813, 919, 8
MM, 885, 885, 8
MM, 964, 853, 8
MM, 1047, 816, 8
MM, 1135, 781, 8
MM, 1217, 752, 0
MM, 1302, 723, 8
MM, 1378, 692, 8
MM, 1436, 670, 8
MM, 1478, 652, 8
MM, 1497, 643, 9
MM, 1504, 640, 8
MM, 1504, 639, 0
MM, 1500, 639, 8
MM, 1481, 641, 8
MM, 1448, 646, 8
MM, 1387, 661, 8
MM, 1324, 675, 8
MM, 1255, 701, 8
MM, 1184, 724, 8
MM, 1122, 751, 0
MM, 1059, 778, 8
MM, 1006, 807, 8
MM, 966, 834, 8
MM, 934, 857, 8
MM, 913, 873, 8
MM, 901, 884, 8
MM, 895, 890, 8
MM, 894, 892, 0
MM, 894, 895, 8
MM, 894, 895, 8
MM, 896, 895, 8
MM, 902, 895, 8
MM, 919, 892, 8
MM, 950, 886, 8
MM, 994, 875, 8
MM, 1039, 860, 0
MM, 1084, 839, 8
MM, 1074, 839, 1267
MM, 1067, 839, 8
MM, 1063, 839, 11
MM, 1063, 839, 6
MM, 1062, 839, 8
MM, 1062, 840, 8
MM, 1062, 840, 32
MM, 1062, 840, 8
MM, 1065, 840, 8
MM, 1067, 840, 8
MM, 1074, 839, 8
MM, 1084, 837, 0
MM, 1099, 832, 8
MM, 1127, 823, 8
MM, 1162, 807, 8
MM, 1199, 785, 8
MM, 1236, 763, 8
MM, 1266, 745, 8
MM, 1292, 730, 8
MM, 1307, 718, 0
MM, 1319, 710, 8
MM, 1328, 706, 8
MM, 1332, 704, 8
MM, 1332, 703, 8
MM, 1332, 703, 16
MM, 1331, 704, 8
MM, 1327, 707, 0
MM, 1314, 717, 8
MM, 1290, 736, 8
MM, 1253, 762, 8
MM, 1221, 788, 8
MM, 1186, 816, 8
MM, 1157, 843, 8
MM, 1131, 869, 8
MM, 1100, 904, 0
MM, 1080, 935, 9
MM, 1062, 965, 8
MM, 1046, 992, 9
MM, 1041, 1007, 8
MM, 1037, 1017, 7
MM, 1034, 1025, 8
MM, 1035, 1030, 0
MM, 1035, 1032, 8
MM, 1037, 1033, 8
MM, 1042, 1033, 8
MM, 1052, 1033, 9
MM, 1067, 1030, 7
MM, 1102, 1017, 9
MM, 1143, 1004, 7
MM, 1189, 983, 8
MM, 1234, 965, 0
MM, 1277, 945, 8
MM, 1316, 928, 8
MM, 1350, 915, 9
MM, 1382, 901, 8
MM, 1407, 893, 7
MM, 1428, 884, 8
MM, 1447, 877, 8
MM, 1462, 871, 1
MM, 1476, 866, 8
MM, 1486, 863, 8
MM, 1495, 860, 8
MM, 1504, 859, 8
MM, 1499, 861, 234
MM, 1492, 862, 0
MM, 1483, 864, 8
MM, 1475, 864, 8
MM, 1463, 865, 8
MM, 1448, 867, 9
MM, 1430, 867, 9
MM, 1410, 867, 6
MM, 1391, 868, 8
MM, 1373, 868, 8
MM, 1355, 870, 0
MM, 1340, 871, 8
MM, 1326, 874, 8
MM, 1316, 876, 8
MM, 1306, 879, 8
MM, 1295, 883, 8
MM, 1286, 887, 8
MM, 1281, 889, 0
MM, 1273, 893, 8
MM, 1267, 897, 8
MM, 1261, 902, 8
MM, 1255, 906, 8
MM, 1252, 910, 8
MM, 1248, 912, 8
MM, 1246, 915, 8
MM, 1244, 917, 8
MM, 1243, 919, 8
MM, 1241, 920, 0
MM, 1241, 921, 8
MM, 1234, 932, 194
MM, 1227, 949, 8
MM, 1217, 972, 7
MM, 1211, 989, 0
MM, 1207, 1003, 9
MM, 1204, 1015, 8
MM, 1203, 1027, 8
MM, 1200, 1034, 8
MM, 1199, 1041, 7
MM, 1198, 1046, 9
MM, 1198, 1048, 0
MM, 1197, 1050, 7
MM, 1197, 1050, 9
MM, 1197, 1051, 16
MM, 1197, 1052, 31
MM, 1197, 1052, 17
MM, 1197, 1053, 8
MM, 1197, 1054, 8
MM, 1197, 1055, 8
MM, 1197, 1055, 16
MM, 1197, 1056, 8
MM, 1197, 1057, 16
MM, 1196, 1057, 16
MM, 1196, 1057, 8
MM, 1196, 1058, 16
MM, 1196, 1058, 32
MP, 1, 162
MR, 1, 217
MC, 1, 0
MM, 1193, 1054, 883
MM, 1186, 1047, 7
MM, 1176, 1030, 9
MM, 1158, 1000, 7
MM, 1138, 958, 8
MM, 1121, 919, 9
MM, 1106, 881, 8
MM, 1096, 847, 0
MM, 1083, 812, 7
MM, 1076, 785, 9
MM, 1073, 762, 8
MM, 1072, 741, 7
MM, 1072, 724, 9
MM, 1073, 709, 7
MM, 1076, 697, 9
MM, 1081, 685, 7
MM, 1085, 676, 0
MM, 1090, 670, 8
MM, 1093, 666, 8
MM, 1095, 662, 9
MM, 1097, 660, 8
MM, 1099, 658, 8
MM, 1100, 656, 7
MM, 1100, 656, 8
MM, 1090, 671, 275
MM, 1075, 698, 0
MM, 1060, 724, 8
MM, 1045, 748, 8
MM, 1037, 766, 8
MM, 1032, 780, 8
MM, 1028, 791, 10
MM, 1024, 798, 0
MM, 1021, 805, 8
MM, 1016, 810, 8
MM, 1013, 816, 8
MM, 1006, 822, 8
MM, 994, 829, 8
MM, 980, 840, 8
MM, 953, 855, 8
MM, 930, 870, 0
MM, 909, 883, 8
MM, 886, 898, 8
MM, 863, 910, 8
MM, 837, 923, 8
MM, 814, 935, 8
MM, 796, 943, 8
MM, 780, 950, 8
MM, 766, 957, 8
MM, 751, 964, 0
MM, 740, 968, 8
MM, 733, 970, 8
MM, 726, 972, 8
MM, 721, 972, 8
MM, 716, 972, 8
MM, 714, 972, 8
MM, 712, 970, 8
MM, 710, 967, 0
MM, 708, 959, 8
MM, 710, 942, 8
MM, 723, 909, 8
MM, 754, 856, 8
MM, 794, 804, 8
MM, 847, 748, 8
MM, 900, 695, 8
MM, 962, 644, 0
MM, 1027, 592, 8
MM, 1088, 546, 8
MM, 1149, 505, 8
MM, 1210, 467, 8
MM, 1264, 430, 8
MM, 1321, 396, 8
MM, 1367, 370, 8
MM, 1407, 350, 0
MM, 1436, 337, 8
MM, 1452, 328, 8
MM, 1464, 321, 8
MM, 1471, 319, 8
MM, 1474, 318, 8
MM, 1475, 318, 16
MM, 1475, 318, 14
MM, 1475, 318, 1
MM, 1474, 320, 9
MM, 1497, 298, 260
MM, 1525, 263, 8
MM, 1560, 219, 8
MM, 1590, 181, 8
MM, 1619, 143, 8
MM, 1641, 114, 7
MM, 1658, 87, 0
MM, 1669, 70, 8
MM, 1673, 58, 8
MM, 1675, 50, 9
MM, 1675, 44, 8
MM, 1675, 39, 8
MM, 1674, 35, 8
MM, 1674, 34, 8
MM, 1673, 32, 7
MM, 1673, 30, 0
MM, 1673, 30, 8
MM, 1673, 29, 9
MM, 1672, 29, 8
MM, 1672, 28, 16
MM, 1671, 28, 8
MM, 1671, 27, 7
MM, 1671, 27, 0
MM, 1671, 27, 8
MM, 1670, 26, 8
MM, 1669, 26, 8
MM, 1668, 25, 9
MM, 1668, 25, 8
MM, 1666, 23, 8
MM, 1664, 22, 8
MM, 1663, 20, 0
MM, 1661, 20, 7
MM, 1660, 20, 8
MM, 1660, 19, 9
MM, 1659, 19, 8
MM, 1659, 18, 8
MM, 1658, 18, 8
MM, 1658, 17, 15
MM, 1660, 17, 0
MM, 1668, 12, 8
MM, 1690, 4, 8
MM, 1731, -9, 9
MM, 1781, -11, 8
MM, 1818, -9, 8
MM, 1848, -5, 8
MM, 1871, -5, 0
MM, 1891, -5, 7
MM, 1904, -4, 8
MM, 1916, -2, 8
MM, 1922, -3, 9
MM, 1926, -2, 7
MM, 1921, -2, 9
MM, 1920, 0, 7
MM, 1919, -1, 8
MM, 1919, 0, 8
MM, 1917, 0, 17
MM, 1915, 1, 7
MM, 1912, 2, 9
MM, 1908, 3, 7
MM, 1906, 5, 9
MM, 1905, 5, 0
MM, 1903, 5, 7
MM, 1902, 5, 8
MM, 1902, 5, 9
MM, 1901, 5, 16
MM, 1900, 5, 16
MM, 1900, 5, 15
MM, 1899, 5, 8
MM, 1898, 5, 17
MM, 1897, 5, 8
MM, 1894, 5, 7
MM, 1890, 5, 8
MM, 1886, 5, 0
MM, 1880, 5, 8
MM, 1875, 5, 12
MM, 1867, 5, 7
MM, 1858, 5, 8
MM, 1851, 5, 8
MM, 1845, 5, 0
MM, 1836, 5, 8
MM, 1829, 6, 8
MM, 1822, 6, 8
MM, 1816, 6, 8
MM, 1809, 6, 8
MM, 1803, 6, 8
MM, 1798, 5, 8
MM, 1793, 5, 0
MM, 1789, 4, 8
MM, 1787, 3, 8
MM, 1786, 2, 8
MM, 1783, 2, 8
MM, 1782, 1, 8
MM, 1781, 1, 16
MM, 1781, 0, 0
MM, 1781, 0, 16
MM, 1781, -1, 16
MM, 1781, -1, 24
MM, 1781, 0, 8
MM, 1781, 0, 48
MM, 1779, 0, 8
MM, 1773, 3, 0
MM, 1754, 13, 8
MM, 1704, 41, 8
MM, 1651, 70, 8
MM, 1588, 106, 8
MM, 1521, 147, 8
MM, 1443, 195, 8
MM, 1353, 250, 0
MM, 1263, 299, 8
MM, 1172, 354, 8
MM, 1085, 405, 8
MM, 1004, 457, 8
MM, 930, 507, 8
MM, 865, 556, 8
MM, 801, 600, 8
MM, 752, 644, 8
MM, 715, 683, 0
MM, 686, 721, 8
MM, 668, 751, 8
MM, 660, 773, 8
MM, 654, 791, 8
MM, 654, 805, 8
MM, 654, 817, 8
MM, 616, 817, 233
MM, 587, 821, 0
MM, 563, 822, 8
MM, 543, 827, 8
MM, 519, 834, 8
MM, 494, 843, 8
MM, 475, 852, 9
MM, 456, 862, 0
MM, 442, 870, 8
MM, 425, 882, 8
MM, 414, 890, 8
MM, 405, 897, 9
MM, 399, 902, 7
MM, 396, 906, 9
MM, 393, 908, 8
MM, 392, 909, 8
MM, 392, 910, 7
MM, 392, 910, 9
MM, 393, 910, 8
MM, 393, 919, 271
MM, 390, 931, 0
MM, 386, 942, 8
MM, 384, 952, 8
MM, 381, 963, 9
MM, 378, 968, 8
MM, 375, 976, 8
MM, 374, 978, 7
MM, 374, 982, 8
MM, 374, 985, 0
MM, 374, 986, 8
MM, 373, 990, 8
MM, 372, 993, 11
MM, 371, 997, 7
MM, 370, 1001, 8
MM, 369, 1005, 0
MM, 368, 1008, 8
MM, 367, 1012, 8
MM, 367, 1015, 8
MM, 366, 1019, 8
MM, 366, 1020, 8
MM, 366, 1022, 8
MM, 366, 1025, 8
MM, 366, 1025, 8
MM, 366, 1026, 0
MM, 366, 1027, 8
MM, 366, 1027, 16
MM, 366, 1028, 8
MM, 366, 1029, 8
MM, 366, 1030, 8
MM, 366, 1030, 8
MM, 366, 1031, 0
MM, 367, 1032, 8
MM, 367, 1032, 8
MM, 367, 1034, 8
MM, 368, 1035, 8
MM, 368, 1035, 8
MM, 369, 1037, 8
MM, 369, 1038, 8
MM, 369, 1038, 0
MM, 369, 1039, 16
MM, 369, 1040, 8
MM, 369, 1040, 8
MM, 369, 1041, 8
MM, 369, 1042, 8
MM, 369, 1043, 8
MM, 369, 1044, 8
MM, 369, 1045, 8
MM, 369, 1046, 8
MM, 368, 1047, 8
MM, 368, 1048, 11
MM, 368, 1049, 5
MM, 367, 1049, 8
MM, 367, 1050, 8
MM, 367, 1051, 0
MM, 367, 1051, 8
MM, 367, 1052, 16
MM, 367, 1053, 16
MM, 367, 1054, 16
MM, 367, 1054, 16
MM, 367, 1055, 24
MM, 373, 1044, 3344
MM, 393, 1013, 7
MM, 409, 984, 8
MM, 421, 961, 9
MM, 433, 941, 8
MM, 442, 925, 7
MM, 448, 914, 0
MM, 454, 902, 8
MM, 461, 891, 8
MM, 466, 882, 8
MM, 471, 871, 9
MM, 479, 862, 7
MM, 484, 855, 9
MM, 486, 851, 7
MM, 488, 846, 8
MM, 490, 845, 8
MM, 491, 843, 0
MM, 491, 842, 8
MM, 492, 842, 9
MP, 1, 216
MR, 1, 216
MC, 1, 0
MM, 482, 847, 506
MM, 465, 859, 9
MM, 441, 878, 5
MM, 427, 893, 9
MM, 415, 908, 0
MM, 406, 919, 7
MM, 399, 930, 8
MM, 392, 942, 8
MM, 387, 954, 9
MM, 383, 965, 8
MM, 377, 975, 8
MM, 375, 987, 7
MM, 371, 995, 0
MM, 368, 1005, 8
MM, 366, 1014, 8
MM, 362, 1021, 9
MM, 362, 1028, 8
MM, 359, 1035, 8
MM, 357, 1041, 7
MM, 356, 1045, 8
MM, 356, 1047, 8
MM, 356, 1051, 0
MM, 356, 1053, 8
MM, 355, 1054, 8
MM, 355, 1056, 9
MM, 354, 1058, 8
MM, 354, 1059, 8
MM, 354, 1061, 9
MM, 354, 1062, 8
MM, 354, 1062, 16
MM, 354, 1063, 8
MM, 354, 1064, 8
MM, 354, 1064, 8
MM, 354, 1065, 0
MM, 354, 1066, 16
MM, 354, 1067, 8
MM, 354, 1067, 18
MM, 354, 1067, 8
MM, 354, 1068, 0
MM, 354, 1068, 8
MM, 355, 1069, 16
MM, 355, 1069, 16
MM, 356, 1069, 96
MM, 356, 1069, 16
MM, 356, 1069, 8
MM, 357, 1069, 8
MM, 358, 1069, 16
MM, 358, 1069, 16
MM, 358, 1068, 8
MM, 359, 1068, 16
MM, 377, 1060, 384
MM, 417, 1038, 8
MM, 448, 1015, 8
MM, 476, 991, 8
MM, 495, 974, 0
MM, 511, 952, 8
MM, 525, 929, 8
MM, 543, 899, 8
MM, 555, 867, 8
MM, 566, 842, 8
MM, 572, 812, 8
MM, 577, 789, 8
MM, 577, 769, 8
MM, 575, 752, 0
MM, 571, 737, 8
MM, 567, 725, 8
MM, 558, 711, 8
MM, 550, 700, 8
MM, 541, 692, 8
MM, 533, 685, 8
MM, 527, 679, 8
MM, 521, 676, 0
MM, 517, 674, 8
MM, 514, 673, 8
MM, 513, 672, 8
MM, 510, 671, 8
MM, 509, 670, 8
MM, 508, 670, 9
MM, 508, 656, 259
MM, 512, 627, 7
MM, 515, 598, 8
MM, 520, 578, 0
MM, 523, 563, 8
MM, 524, 548, 13
MM, 524, 537, 2
MM, 525, 526, 8
MM, 525, 516, 8
MM, 525, 505, 8
MM, 525, 493, 8
MM, 525, 483, 8
MM, 524, 476, 0
MM, 524, 467, 8
MM, 522, 460, 8
MM, 522, 455, 8
MM, 518, 449, 8
MM, 516, 445, 8
MM, 514, 441, 9
MM, 513, 439, 7
MM, 511, 436, 8
MM, 508, 435, 0
MM, 508, 433, 8
MM, 506, 431, 8
MM, 504, 429, 8
MM, 503, 428, 8
MM, 502, 426, 8
MM, 502, 425, 8
MM, 502, 425, 0
MM, 501, 424, 8
MM, 501, 423, 9
MM, 501, 422, 9
MM, 500, 422, 8
MM, 500, 422, 8
MM, 499, 422, 7
MM, 499, 421, 8
MM, 498, 420, 0
MM, 496, 420, 8
MM, 493, 419, 8
MM, 489, 419, 9
MM, 486, 419, 7
MM, 481, 418, 9
MM, 476, 418, 7
MM, 472, 417, 9
MM, 468, 417, 0
MM, 465, 416, 7
MM, 463, 416, 8
MM, 460, 416, 8
MM, 460, 416, 9
MM, 459, 416, 8
MM, 458, 416, 23
MM, 457, 415, 9
MM, 457, 415, 16
MM, 457, 414, 16
MM, 456, 414, 8
MM, 455, 414, 7
MM, 455, 414, 17
MM, 455, 413, 39
MM, 475, 413, 1121
MM, 519, 413, 8
MM, 552, 418, 8
MM, 589, 429, 8
MM, 621, 440, 8
MM, 647, 456, 8
MM, 671, 470, 0
MM, 686, 488, 8
MM, 697, 508, 8
MM, 704, 529, 11
MM, 711, 559, 7
MM, 713, 584, 8
MM, 713, 605, 0
MM, 713, 625, 8
MM, 711, 644, 8
MM, 707, 661, 8
MM, 704, 673, 8
MM, 701, 688, 8
MM, 698, 704, 9
MM, 696, 716, 1
MM, 696, 726, 8
MM, 696, 736, 8
MM, 696, 743, 8
MM, 698, 748, 8
MM, 706, 785, 227
MM, 716, 825, 7
MM, 727, 863, 0
MM, 737, 903, 8
MM, 746, 931, 8
MM, 753, 955, 9
MM, 759, 972, 8
MM, 765, 988, 8
MM, 768, 1003, 7
MM, 773, 1015, 8
MM, 775, 1024, 0
MM, 778, 1029, 8
MM, 779, 1035, 8
MM, 780, 1039, 8
MM, 780, 1041, 8
MM, 780, 1044, 9
MM, 780, 1045, 8
