********************************************************************************
LOGGING TIME: 20201001_163822
CLIENT IP: 192.168.1.101
USERNAME: nishanth
OS: Windows 10
ARCHITECTURE: x86
VERSION: 10.0
RESOLUTION: 1920.0 1080.0
********************************************************************************
MP, 1, 1602022801536
MR, 1, 217
MC, 1, 0
MM, 550, 374, 10099
MM, 614, 357, 4
MM, 678, 339, 9
MM, 746, 319, 6
MM, 807, 300, 7
MM, 858, 281, 8
MM, 900, 263, 9
MM, 939, 246, 3
MM, 975, 229, 9
MM, 1003, 218, 8
MM, 1026, 205, 8
MM, 1045, 198, 5
MM, 1057, 191, 6
MM, 1066, 184, 9
MM, 1070, 182, 3
MM, 1072, 182, 9
MM, 1073, 182, 8
MM, 1073, 182, 20
MM, 1071, 182, 8
MM, 1070, 182, 7
MM, 1065, 182, 8
MM, 1056, 183, 5
MM, 1043, 183, 8
MM, 1031, 183, 8
MM, 1019, 182, 8
MM, 1011, 181, 4
MM, 1005, 179, 8
MM, 1004, 179, 8
MM, 1002, 179, 8
MM, 1001, 178, 4
MM, 1001, 177, 8
MM, 1001, 176, 8
MM, 1002, 174, 8
MM, 1009, 168, 4
MM, 1023, 155, 8
MM, 1052, 131, 8
MM, 1083, 108, 8
MM, 1107, 91, 5
MM, 1121, 81, 9
MM, 1133, 74, 5
MM, 1144, 70, 8
MM, 1150, 68, 7
MM, 1157, 67, 9
MM, 1160, 67, 4
MM, 1165, 67, 8
MM, 1172, 67, 8
MM, 1180, 67, 8
MM, 1192, 67, 4
MM, 1207, 69, 9
MM, 1226, 70, 7
MM, 1248, 76, 4
MM, 1276, 88, 8
MM, 1301, 97, 8
MM, 1320, 106, 7
MM, 1337, 117, 7
MM, 1349, 124, 8
MM, 1360, 130, 8
MM, 1367, 137, 4
MM, 1373, 142, 8
MM, 1379, 145, 8
MM, 1383, 147, 8
MM, 1386, 148, 4
MM, 1388, 149, 6
MM, 1389, 149, 8
MM, 1391, 150, 8
MM, 1392, 150, 9
MM, 1393, 150, 12
MM, 1393, 151, 20
MM, 1393, 151, 9
MM, 1392, 151, 8
MM, 1391, 152, 4
MM, 1390, 152, 10
MM, 1389, 153, 8
MM, 1389, 153, 4
MM, 1388, 153, 14
MM, 1387, 154, 16
MM, 1387, 155, 8
MM, 1387, 156, 4
MM, 1387, 159, 8
MM, 1387, 161, 8
MM, 1386, 162, 8
MM, 1384, 164, 4
MM, 1382, 167, 8
MM, 1378, 168, 8
MM, 1373, 168, 8
MM, 1364, 168, 4
MM, 1356, 168, 9
MM, 1349, 167, 8
MM, 1340, 164, 4
MM, 1333, 164, 8
MM, 1326, 164, 8
MM, 1318, 164, 8
MM, 1312, 164, 4
MM, 1306, 164, 8
MM, 1302, 164, 8
MM, 1300, 164, 8
MM, 1299, 164, 8
MM, 1296, 164, 4
MM, 1295, 164, 10
MM, 1295, 163, 4
MM, 1294, 163, 8
MM, 1294, 163, 12
MM, 1293, 163, 8
MM, 1292, 163, 17
MM, 1292, 162, 67
MM, 1292, 161, 99
MP, 1, 133
MR, 1, 218
MC, 1, 0
MM, 1310, 151, 437
MM, 1340, 133, 7
MM, 1376, 111, 8
MM, 1410, 93, 5
MM, 1440, 72, 9
MM, 1470, 57, 5
MM, 1496, 41, 8
MM, 1520, 27, 7
MM, 1542, 15, 8
MM, 1559, 4, 5
MM, 1572, -6, 10
MM, 1586, -8, 4
MM, 1598, -7, 10
MM, 1607, -7, 5
MM, 1614, -6, 8
MM, 1619, -3, 8
MM, 1624, -5, 4
MM, 1627, -3, 8
MM, 1630, -3, 8
MM, 1634, -3, 8
MM, 1637, -2, 4
MM, 1641, -3, 8
MM, 1644, -2, 8
MM, 1648, -2, 8
MM, 1652, -2, 6
MM, 1658, -3, 8
MM, 1662, -1, 4
MM, 1666, -2, 8
MM, 1670, -2, 8
MM, 1673, -2, 8
MM, 1675, -2, 8
MM, 1677, -1, 4
