********************************************************************************
LOGGING TIME: 20201002_034950
CLIENT IP: 192.168.1.102
USERNAME: nishanth
OS: Windows 10
ARCHITECTURE: x86
VERSION: 10.0
RESOLUTION: 1920.0 1080.0
********************************************************************************
MP, 1, 1602022801488
MM, 1681, 108, 647
MM, 1621, 143, 8
MM, 1568, 172, 8
MM, 1518, 200, 4
MM, 1468, 229, 8
MM, 1418, 257, 8
MM, 1365, 286, 8
MM, 1318, 314, 4
MM, 1271, 343, 8
MM, 1227, 373, 8
MM, 1186, 402, 8
MM, 1151, 428, 4
MM, 1120, 454, 8
MM, 1097, 474, 8
MM, 1075, 497, 8
MM, 1061, 512, 4
MM, 1051, 524, 8
MM, 1044, 535, 8
MM, 1040, 546, 8
MM, 1038, 551, 4
MM, 1037, 555, 8
MM, 1037, 557, 8
MM, 1037, 560, 8
MM, 1038, 560, 4
MM, 1040, 560, 8
MM, 1068, 529, 851
MM, 1116, 487, 4
MM, 1171, 448, 8
MM, 1238, 404, 8
MM, 1315, 364, 8
MM, 1391, 327, 4
MM, 1469, 299, 8
MM, 1617, 266, 16
MM, 1682, 258, 4
MM, 1747, 256, 8
MM, 1801, 256, 8
MM, 1877, 262, 8
MM, 1943, 272, 4
MM, 1995, 285, 8
MM, 2013, 306, 8
MM, 1927, 298, 280
MM, 1928, 290, 8
MM, 1924, 284, 8
MM, 1922, 282, 4
MM, 1921, 280, 8
MM, 1922, 279, 8
MM, 1919, 278, 8
MM, 1919, 278, 4
MM, 1919, 277, 8
MM, 1919, 276, 20
MM, 1919, 276, 16
MM, 1918, 276, 12
MM, 1917, 276, 8
MM, 1915, 276, 8
MM, 1913, 277, 8
MM, 1912, 278, 4
MM, 1910, 278, 8
MM, 1908, 279, 8
MM, 1908, 280, 12
MM, 1907, 280, 8
MM, 1906, 280, 16
MM, 1906, 280, 20
MM, 1906, 279, 8
MM, 1906, 278, 4
MM, 1906, 276, 8
MM, 1906, 273, 8
MM, 1907, 272, 8
MM, 1908, 269, 4
MM, 1909, 265, 8
MM, 1910, 263, 8
MM, 1911, 261, 8
MM, 1911, 259, 4
MM, 1911, 257, 8
MM, 1911, 255, 8
MM, 1912, 254, 7
MM, 1912, 252, 8
MM, 1912, 250, 12
MM, 1912, 249, 8
MM, 1912, 247, 8
MM, 1912, 245, 8
MM, 1912, 245, 4
MM, 1912, 243, 8
MM, 1912, 241, 8
MM, 1912, 241, 8
MM, 1911, 239, 4
MM, 1911, 237, 8
MM, 1910, 236, 4
MM, 1910, 235, 9
MM, 1909, 234, 8
MM, 1909, 232, 8
MM, 1909, 229, 4
MM, 1908, 228, 8
MM, 1908, 225, 8
MM, 1908, 222, 8
MM, 1908, 220, 8
MM, 1908, 218, 4
MM, 1908, 215, 8
MM, 1908, 214, 8
MM, 1908, 211, 8
MM, 1908, 209, 23
MM, 1908, 207, 0
MM, 1908, 206, 8
MM, 1908, 205, 4
MM, 1907, 203, 4
MM, 1907, 203, 8
MM, 1907, 201, 8
MM, 1907, 200, 8
MM, 1907, 200, 4
MM, 1907, 199, 8
MM, 1907, 197, 8
MM, 1906, 197, 8
MM, 1906, 196, 4
MM, 1906, 195, 8
MM, 1905, 194, 8
MM, 1905, 194, 7
MM, 1905, 193, 8
MM, 1905, 192, 6
MM, 1905, 191, 6
MM, 1905, 190, 15
MM, 1905, 189, 5
MM, 1905, 189, 11
MM, 1905, 188, 14
MM, 1905, 187, 14
MM, 1905, 187, 20
MM, 1905, 186, 13
MM, 1905, 185, 13
MM, 1905, 184, 15
MM, 1905, 184, 6
MM, 1905, 183, 10
MM, 1905, 183, 4
MM, 1905, 182, 6
MM, 1906, 182, 9
MM, 1906, 181, 8
MM, 1906, 180, 6
MM, 1907, 179, 8
MM, 1908, 179, 8
MM, 1908, 177, 4
MM, 1908, 177, 8
MM, 1909, 176, 8
MM, 1910, 175, 8
MM, 1911, 174, 12
MM, 1911, 174, 8
MM, 1911, 173, 6
MM, 1912, 172, 20
MM, 1913, 172, 16
MM, 1913, 171, 18
MM, 1913, 170, 32
MM, 1913, 169, 40
MM, 1913, 169, 21
MM, 1913, 168, 16
MM, 1913, 167, 12
MM, 1912, 169, 5144
MM, 1907, 173, 8
MM, 1898, 181, 4
MM, 1890, 191, 8
MM, 1878, 200, 8
MM, 1866, 213, 8
MM, 1853, 228, 4
MM, 1831, 248, 10
MM, 1806, 269, 6
MM, 1776, 299, 8
MM, 1738, 333, 4
MM, 1692, 374, 8
MM, 1643, 418, 8
MM, 1590, 468, 8
MM, 1530, 531, 4
MM, 1470, 593, 11
MM, 1418, 662, 5
MM, 1326, 781, 12
MM, 1292, 835, 8
MM, 1260, 889, 8
MM, 1232, 939, 8
MM, 1206, 985, 4
MM, 1186, 1025, 8
MM, 1169, 1060, 8
MM, 1161, 1085, 8
MM, 1152, 1095, 4
MM, 1148, 1091, 8
MM, 1145, 1088, 8
MM, 1142, 1085, 8
MM, 1142, 1081, 4
MM, 1142, 1081, 8
MM, 1142, 1080, 8
MM, 1142, 1079, 8
MM, 1142, 1079, 12
MM, 1142, 1079, 366
MM, 1141, 1079, 12
MM, 1139, 1079, 16
MM, 1139, 1079, 8
MM, 1137, 1079, 4
MM, 1134, 1078, 8
MM, 1131, 1076, 8
MM, 1130, 1074, 8
MM, 1127, 1072, 6
MM, 1124, 1071, 6
MM, 1121, 1069, 8
MM, 1119, 1068, 8
MM, 1116, 1066, 8
MM, 1112, 1064, 4
MM, 1110, 1063, 9
MM, 1107, 1061, 8
MM, 1105, 1059, 6
MM, 1103, 1058, 7
MM, 1101, 1058, 7
MM, 1098, 1057, 8
MM, 1097, 1057, 7
MM, 1094, 1056, 7
MM, 1089, 1056, 14
MM, 1087, 1056, 5
MM, 1084, 1056, 8
MM, 1084, 1056, 4
MM, 1083, 1056, 8
MM, 1082, 1056, 16
MM, 1081, 1056, 4
MM, 1081, 1056, 8
MM, 1080, 1056, 8
MM, 1079, 1056, 7
MM, 1079, 1056, 8
MM, 1078, 1056, 14
MM, 1077, 1056, 8
MM, 1076, 1056, 4
MM, 1076, 1056, 8
